date,load_mw_daily_mean,temp_c_mean,temp_c_min,temp_c_max,precip_mm_sum,wind_ms_mean,rh_pct_mean,weekday,month,year,is_weekend
2021-08-28,6061.791666666667,21.029166666666665,18.5,25.5,7.1,13.737499999999999,76.95833333333333,5,8,2021,1
2021-08-29,5532.541666666667,20.641666666666666,17.5,24.8,5.1,10.6,81.70833333333333,6,8,2021,1
2021-08-30,6494.8125,19.954166666666666,16.5,24.0,0.6,16.479166666666668,66.83333333333333,0,8,2021,0
2021-08-31,6584.458333333333,18.520833333333332,12.4,25.0,0.0,8.691666666666666,69.45833333333333,1,8,2021,0
2021-09-01,6610.28125,18.650000000000002,13.3,24.7,0.1,16.891666666666666,66.54166666666667,2,9,2021,0
2021-09-02,6631.041666666667,18.079166666666666,13.6,22.1,0.0,8.083333333333334,64.66666666666667,3,9,2021,0
2021-09-03,6465.739583333333,17.170833333333334,13.5,21.5,0.0,7.133333333333333,62.083333333333336,4,9,2021,0
2021-09-04,5927.822916666667,17.441666666666666,11.5,23.9,0.0,6.6125,66.875,5,9,2021,1
2021-09-05,5456.114583333333,18.183333333333334,12.6,23.2,0.2,14.620833333333332,63.458333333333336,6,9,2021,1
2021-09-06,6149.802083333333,17.208333333333332,12.6,21.9,0.0,12.095833333333333,45.625,0,9,2021,0
2021-09-07,6363.395833333333,16.654166666666665,10.4,22.4,0.0,8.695833333333333,58.958333333333336,1,9,2021,0
2021-09-08,5783.130952380952,16.441666666666666,10.2,22.5,0.0,10.133333333333333,59.541666666666664,2,9,2021,0
2021-09-09,6606.34375,17.408333333333335,11.1,24.0,0.0,10.65,57.5,3,9,2021,0
2021-09-10,6575.988452380952,17.345833333333335,10.4,23.9,0.0,5.9750000000000005,60.75,4,9,2021,0
2021-09-11,6023.529895833333,18.95,11.4,26.1,0.0,5.966666666666666,57.166666666666664,5,9,2021,1
2021-09-12,5577.927083333333,19.787499999999998,12.2,27.3,0.0,6.2625,58.583333333333336,6,9,2021,1
2021-09-13,6430.260869565217,20.6375,13.6,26.9,0.0,6.5874999999999995,56.583333333333336,0,9,2021,0
2021-09-14,6528.84375,20.879166666666666,13.6,26.9,0.0,5.3125,62.166666666666664,1,9,2021,0
2021-09-15,6737.53125,21.304166666666667,15.9,26.9,0.0,6.029166666666666,66.29166666666667,2,9,2021,0
2021-09-16,6762.0625,21.566666666666666,14.3,28.1,0.0,5.033333333333333,65.125,3,9,2021,0
2021-09-17,6752.0625,22.15416666666667,15.4,27.3,0.0,6.0,61.75,4,9,2021,0
2021-09-18,6099.364583333333,21.304166666666667,16.8,25.8,0.0,14.295833333333334,63.291666666666664,5,9,2021,1
2021-09-19,5485.270833333333,18.658333333333335,13.1,24.7,0.0,14.216666666666667,56.541666666666664,6,9,2021,1
2021-09-20,6508.458333333333,16.016666666666666,12.2,21.4,6.2,9.083333333333334,74.375,0,9,2021,0
2021-09-21,6619.71875,12.808333333333332,10.8,15.4,4.0,8.591666666666667,78.29166666666667,1,9,2021,0
