model,test_year,MAE,RMSE,n_test
RandomForest,2023,569.6580828287534,648.7769742199432,365
Baseline(month+weekday mean),2023,613.162550489848,716.6324003820292,365
LinearRegression,2023,612.5816713695295,721.709036224001,365
